Name,Median Distance,Mean Distance
20231107-230346,16.44642298143306,23.11484565124471
20231108-155200,16.570519292930843,23.857210359269036
20231110-113013,17.805843571177228,25.810173341015037
20231110-172533,17.07817041664216,24.844411005876797
20231111-130032,16.90102504837839,24.528637937808156
utm_lr2e-5,16.400457993668205,23.352911730025614
bert-finetuned-swiss-100epoch,16.05378632874989,22.95918637897691
swissbert,17.586441083651746,24.471539766289755
bert-swiss-L2-reduced-dev-plateau,17.677905275036863,23.59483114024991
gbert-large,39.64651176230118,47.665548447045836
bert-finetuned-swiss-L1-reduced-dev-plateau,16.515042809864763,23.45507691597444
bert-ft-swiss-latlon-L1-reduced-dev-one-cycle-lr,39.62756013468044,47.69802052752952
bert-ft-swiss-latlon-L1-reduced-dev-plateau,16.508665656553227,23.658240119826672
bert-ft-swiss-utm-L1-reduced-dev,16.24561166234145,24.05647741954583
bert-ft-swiss-latlon-L1-reduced-dev,16.19306181889891,23.790147924160806
bert-ft-swiss-lv95-L1-reduced-dev,15.75871189054547,22.954655710475592
bert-german-lv95-L1-reduced-dev,17.681147819810032,24.84411533822922
